Catchment area,Area,Postcodes,BAEC Customers,Amex penetration,Barclaycard penetration
Scotland +,Glasgow,G1,,,
Scotland +,Glasgow,G2,,,
Scotland +,Glasgow,G3,,,
Scotland +,Glasgow,G4,,,
Scotland +,Glasgow,G5,,,
Scotland +,Glasgow,G9,,,
Scotland +,Glasgow,G11,,,
Scotland +,Glasgow,G12,,,
Scotland +,Glasgow,G13,,,
Scotland +,Glasgow,G14,,,
Scotland +,Glasgow,G15,,,
Scotland +,Glasgow,G20,,,
Scotland +,Glasgow,G21,,,
Scotland +,Glasgow,G22,,,
Scotland +,Glasgow,G23,,,
Scotland +,Glasgow,G31,,,
Scotland +,Glasgow,G32,,,
Scotland +,Glasgow,G33,,,
Scotland +,Glasgow,G34,,,
Scotland +,Glasgow,G40,,,
Scotland +,Glasgow,G41,,,
Scotland +,Glasgow,G42,,,
Scotland +,Glasgow,G43,,,
Scotland +,Glasgow,G44,,,
Scotland +,Glasgow,G45,,,
Scotland +,Glasgow,G46,,,
Scotland +,Glasgow,G51,,,
Scotland +,Glasgow,G52,,,
Scotland +,Glasgow,G53,,,
Scotland +,Glasgow,G58,,,
Scotland +,Glasgow,G60,,,
Scotland +,Glasgow,G61,,,
Scotland +,Glasgow,G62,,,
Scotland +,Glasgow,G63,,,
Scotland +,Glasgow,G64,,,
Scotland +,Glasgow,G65,,,
Scotland +,Glasgow,G66,,,
Scotland +,Glasgow,G67,,,
Scotland +,Glasgow,G68,,,
Scotland +,Glasgow,G69,,,
Scotland +,Glasgow,G70,,,
Scotland +,Glasgow,G71,,,
Scotland +,Glasgow,G72,,,
Scotland +,Glasgow,G73,,,
Scotland +,Glasgow,G74,,,
Scotland +,Glasgow,G75,,,
Scotland +,Glasgow,G76,,,
Scotland +,Glasgow,G77,,,
Scotland +,Glasgow,G78,,,
Scotland +,Glasgow,G79,,,
Scotland +,Glasgow,G81,,,
Scotland +,Glasgow,G82,,,
Scotland +,Glasgow,G83,,,
Scotland +,Glasgow,G84,,,
Scotland +,Glasgow,G90,,,
Scotland +,Aberdeen,AB10,,,
Scotland +,Aberdeen,AB11,,,
Scotland +,Aberdeen,AB12,,,
Scotland +,Aberdeen,AB13,,,
Scotland +,Aberdeen,AB14,,,
Scotland +,Aberdeen,AB15,,,
Scotland +,Aberdeen,AB16,,,
Scotland +,Aberdeen,AB21,,,
Scotland +,Aberdeen,AB22,,,
Scotland +,Aberdeen,AB23,,,
Scotland +,Aberdeen,AB24,,,
Scotland +,Aberdeen,AB25,,,
Scotland +,Aberdeen,AB30,,,
Scotland +,Aberdeen,AB32,,,
Scotland +,Aberdeen,AB39,,,
Scotland +,Aberdeen,AB41,,,
Scotland +,Aberdeen,AB42,,,
Scotland +,Aberdeen,AB43,,,
Scotland +,Aberdeen,AB44,,,
Scotland +,Aberdeen,AB51,,,
Scotland +,Aberdeen,AB99,,,
Scotland +,Edinburgh,EH1,,,
Scotland +,Edinburgh,EH2,,,
Scotland +,Edinburgh,EH3,,,
Scotland +,Edinburgh,EH4,,,
Scotland +,Edinburgh,EH5,,,
Scotland +,Edinburgh,EH6,,,
Scotland +,Edinburgh,EH7,,,
Scotland +,Edinburgh,EH8,,,
Scotland +,Edinburgh,EH9,,,
Scotland +,Edinburgh,EH10,,,
Scotland +,Edinburgh,EH11,,,
Scotland +,Edinburgh,EH12,,,
Scotland +,Edinburgh,EH13,,,
Scotland +,Edinburgh,EH14,,,
Scotland +,Edinburgh,EH15,,,
Scotland +,Edinburgh,EH16,,,
Scotland +,Edinburgh,EH17,,,
Scotland +,Edinburgh,EH18,,,
Scotland +,Edinburgh,EH19,,,
Scotland +,Edinburgh,EH20,,,
Scotland +,Edinburgh,EH21,,,
Scotland +,Edinburgh,EH22,,,
Scotland +,Edinburgh,EH23,,,
Scotland +,Edinburgh,EH24,,,
Scotland +,Edinburgh,EH25,,,
